,raceId2,prixName,year,round,prixDate,constructorName,driverName,grid,positionText,positionOrder,points,status
9396,444,German Grand Prix,1987,8,1987-07-26,Team Lotus,Ayrton Senna,2,3,3,4.0,+1 Lap
4728,445,Hungarian Grand Prix,1987,9,1987-08-09,Team Lotus,Ayrton Senna,6,2,2,6.0,Finished
17056,446,Austrian Grand Prix,1987,10,1987-08-16,Team Lotus,Ayrton Senna,7,5,5,2.0,+2 Laps
495,447,Italian Grand Prix,1987,11,1987-09-06,Team Lotus,Ayrton Senna,4,2,2,6.0,Finished
17247,448,Portuguese Grand Prix,1987,12,1987-09-20,Team Lotus,Ayrton Senna,5,7,7,0.0,+2 Laps
4645,449,Spanish Grand Prix,1987,13,1987-09-27,Team Lotus,Ayrton Senna,5,5,5,2.0,Finished
19397,450,Mexican Grand Prix,1987,14,1987-10-18,Team Lotus,Ayrton Senna,7,R,10,0.0,Spun off
4946,451,Japanese Grand Prix,1987,15,1987-11-01,Team Lotus,Ayrton Senna,7,2,2,6.0,Finished
22317,452,Australian Grand Prix,1987,16,1987-11-15,Team Lotus,Ayrton Senna,4,D,10,0.0,Disqualified
22303,453,Brazilian Grand Prix,1988,1,1988-04-03,McLaren,Ayrton Senna,1,D,17,0.0,Disqualified
3288,454,San Marino Grand Prix,1988,2,1988-05-01,McLaren,Ayrton Senna,1,1,1,9.0,Finished
18907,455,Monaco Grand Prix,1988,3,1988-05-15,McLaren,Ayrton Senna,1,R,11,0.0,Spun off
4443,456,Mexican Grand Prix,1988,4,1988-05-29,McLaren,Ayrton Senna,1,2,2,6.0,Finished
1886,457,Canadian Grand Prix,1988,5,1988-06-12,McLaren,Ayrton Senna,1,1,1,9.0,Finished
3472,458,Detroit Grand Prix,1988,6,1988-06-19,McLaren,Ayrton Senna,1,1,1,9.0,Finished
2643,459,French Grand Prix,1988,7,1988-07-03,McLaren,Ayrton Senna,2,2,2,6.0,Finished
115,460,British Grand Prix,1988,8,1988-07-10,McLaren,Ayrton Senna,3,1,1,9.0,Finished
2824,461,German Grand Prix,1988,9,1988-07-24,McLaren,Ayrton Senna,1,1,1,9.0,Finished
4736,462,Hungarian Grand Prix,1988,10,1988-08-07,McLaren,Ayrton Senna,1,1,1,9.0,Finished
1221,463,Belgian Grand Prix,1988,11,1988-08-28,McLaren,Ayrton Senna,1,1,1,9.0,Finished
20047,464,Italian Grand Prix,1988,12,1988-09-11,McLaren,Ayrton Senna,1,10,10,0.0,Collision
3505,465,Portuguese Grand Prix,1988,13,1988-09-25,McLaren,Ayrton Senna,2,6,6,1.0,Finished
4651,466,Spanish Grand Prix,1988,14,1988-10-02,McLaren,Ayrton Senna,1,4,4,3.0,Finished
4952,467,Japanese Grand Prix,1988,15,1988-10-30,McLaren,Ayrton Senna,1,1,1,9.0,Finished
3554,468,Australian Grand Prix,1988,16,1988-11-13,McLaren,Ayrton Senna,1,2,2,6.0,Finished
17205,469,Brazilian Grand Prix,1989,1,1989-03-26,McLaren,Ayrton Senna,1,11,11,0.0,+2 Laps
3290,470,San Marino Grand Prix,1989,2,1989-04-23,McLaren,Ayrton Senna,1,1,1,9.0,Finished
923,471,Monaco Grand Prix,1989,3,1989-05-07,McLaren,Ayrton Senna,1,1,1,9.0,Finished
4445,472,Mexican Grand Prix,1989,4,1989-05-28,McLaren,Ayrton Senna,1,1,1,9.0,Finished
18089,473,United States Grand Prix,1989,5,1989-06-04,McLaren,Ayrton Senna,1,R,15,0.0,Electrical
12989,474,Canadian Grand Prix,1989,6,1989-06-18,McLaren,Ayrton Senna,2,7,7,0.0,Engine
21057,475,French Grand Prix,1989,7,1989-07-09,McLaren,Ayrton Senna,2,R,26,0.0,Differential
18799,476,British Grand Prix,1989,8,1989-07-16,McLaren,Ayrton Senna,1,R,25,0.0,Spun off
2826,477,German Grand Prix,1989,9,1989-07-30,McLaren,Ayrton Senna,1,1,1,9.0,Finished
4738,478,Hungarian Grand Prix,1989,10,1989-08-13,McLaren,Ayrton Senna,2,2,2,6.0,Finished
1223,479,Belgian Grand Prix,1989,11,1989-08-27,McLaren,Ayrton Senna,1,1,1,9.0,Finished
12593,480,Italian Grand Prix,1989,12,1989-09-10,McLaren,Ayrton Senna,1,R,13,0.0,Engine
20475,481,Portuguese Grand Prix,1989,13,1989-09-24,McLaren,Ayrton Senna,1,R,17,0.0,Collision
4653,482,Spanish Grand Prix,1989,14,1989-10-01,McLaren,Ayrton Senna,1,1,1,9.0,Finished
22339,483,Japanese Grand Prix,1989,15,1989-10-22,McLaren,Ayrton Senna,1,D,11,0.0,Disqualified
20489,484,Australian Grand Prix,1989,16,1989-11-05,McLaren,Ayrton Senna,1,R,15,0.0,Collision
5148,485,United States Grand Prix,1990,1,1990-03-11,McLaren,Ayrton Senna,5,1,1,9.0,Finished
2336,486,Brazilian Grand Prix,1990,2,1990-03-25,McLaren,Ayrton Senna,1,3,3,4.0,Finished
20859,487,San Marino Grand Prix,1990,3,1990-05-13,McLaren,Ayrton Senna,1,R,22,0.0,Wheel
924,488,Monaco Grand Prix,1990,4,1990-05-27,McLaren,Ayrton Senna,1,1,1,9.0,Finished
1887,489,Canadian Grand Prix,1990,5,1990-06-10,McLaren,Ayrton Senna,1,1,1,9.0,Finished
23467,490,Mexican Grand Prix,1990,6,1990-06-24,McLaren,Ayrton Senna,3,20,20,0.0,Tyre
2645,491,French Grand Prix,1990,7,1990-07-08,McLaren,Ayrton Senna,3,3,3,4.0,Finished
117,492,British Grand Prix,1990,8,1990-07-15,McLaren,Ayrton Senna,2,3,3,4.0,Finished
2827,493,German Grand Prix,1990,9,1990-07-29,McLaren,Ayrton Senna,1,1,1,9.0,Finished
4739,494,Hungarian Grand Prix,1990,10,1990-08-12,McLaren,Ayrton Senna,4,2,2,6.0,Finished
1224,495,Belgian Grand Prix,1990,11,1990-08-26,McLaren,Ayrton Senna,1,1,1,9.0,Finished
549,496,Italian Grand Prix,1990,12,1990-09-09,McLaren,Ayrton Senna,1,1,1,9.0,Finished
3507,497,Portuguese Grand Prix,1990,13,1990-09-23,McLaren,Ayrton Senna,3,2,2,6.0,Finished
14444,498,Spanish Grand Prix,1990,14,1990-09-30,McLaren,Ayrton Senna,1,R,14,0.0,Radiator
20641,499,Japanese Grand Prix,1990,15,1990-10-21,McLaren,Ayrton Senna,1,R,23,0.0,Collision
19335,500,Australian Grand Prix,1990,16,1990-11-04,McLaren,Ayrton Senna,1,R,15,0.0,Spun off
5149,501,United States Grand Prix,1991,1,1991-03-10,McLaren,Ayrton Senna,1,1,1,10.0,Finished
2338,502,Brazilian Grand Prix,1991,2,1991-03-24,McLaren,Ayrton Senna,1,1,1,10.0,Finished
3292,503,San Marino Grand Prix,1991,3,1991-04-28,McLaren,Ayrton Senna,1,1,1,10.0,Finished
926,504,Monaco Grand Prix,1991,4,1991-05-12,McLaren,Ayrton Senna,1,1,1,10.0,Finished
23494,505,Canadian Grand Prix,1991,5,1991-06-02,McLaren,Ayrton Senna,3,R,19,0.0,Alternator
4447,506,Mexican Grand Prix,1991,6,1991-06-16,McLaren,Ayrton Senna,3,3,3,4.0,Finished
5182,507,French Grand Prix,1991,7,1991-07-07,McLaren,Ayrton Senna,3,3,3,4.0,Finished
14311,508,British Grand Prix,1991,8,1991-07-14,McLaren,Ayrton Senna,2,4,4,3.0,Out of fuel
14356,509,German Grand Prix,1991,9,1991-07-28,McLaren,Ayrton Senna,2,7,7,0.0,Out of fuel
4740,510,Hungarian Grand Prix,1991,10,1991-08-11,McLaren,Ayrton Senna,1,1,1,10.0,Finished
1226,511,Belgian Grand Prix,1991,11,1991-08-25,McLaren,Ayrton Senna,1,1,1,10.0,Finished
551,512,Italian Grand Prix,1991,12,1991-09-08,McLaren,Ayrton Senna,1,2,2,6.0,Finished
3509,513,Portuguese Grand Prix,1991,13,1991-09-22,McLaren,Ayrton Senna,3,2,2,6.0,Finished
5312,514,Spanish Grand Prix,1991,14,1991-09-29,McLaren,Ayrton Senna,3,5,5,2.0,Finished
4953,515,Japanese Grand Prix,1991,15,1991-10-20,McLaren,Ayrton Senna,2,2,2,6.0,Finished
3556,516,Australian Grand Prix,1991,16,1991-11-03,McLaren,Ayrton Senna,1,1,1,5.0,Finished
2529,517,South African Grand Prix,1992,1,1992-03-01,McLaren,Ayrton Senna,2,3,3,4.0,Finished
7827,518,Mexican Grand Prix,1992,2,1992-03-22,McLaren,Ayrton Senna,6,R,22,0.0,Transmission
13179,519,Brazilian Grand Prix,1992,3,1992-04-05,McLaren,Ayrton Senna,3,R,23,0.0,Engine
19525,520,Spanish Grand Prix,1992,4,1992-05-03,McLaren,Ayrton Senna,3,9,9,0.0,Spun off
3294,521,San Marino Grand Prix,1992,5,1992-05-17,McLaren,Ayrton Senna,3,3,3,4.0,Finished
927,522,Monaco Grand Prix,1992,6,1992-05-31,McLaren,Ayrton Senna,3,1,1,10.0,Finished
17883,523,Canadian Grand Prix,1992,7,1992-06-14,McLaren,Ayrton Senna,1,R,18,0.0,Electrical
15801,524,French Grand Prix,1992,8,1992-07-05,McLaren,Ayrton Senna,3,R,23,0.0,Accident
7562,525,British Grand Prix,1992,9,1992-07-12,McLaren,Ayrton Senna,3,R,18,0.0,Transmission
2830,526,German Grand Prix,1992,10,1992-07-26,McLaren,Ayrton Senna,3,2,2,6.0,Finished
4742,527,Hungarian Grand Prix,1992,11,1992-08-16,McLaren,Ayrton Senna,3,1,1,10.0,Finished
1228,528,Belgian Grand Prix,1992,12,1992-08-30,McLaren,Ayrton Senna,2,5,5,2.0,Finished
553,529,Italian Grand Prix,1992,13,1992-09-13,McLaren,Ayrton Senna,2,1,1,10.0,Finished
9871,530,Portuguese Grand Prix,1992,14,1992-09-27,McLaren,Ayrton Senna,3,3,3,4.0,+1 Lap
14138,531,Japanese Grand Prix,1992,15,1992-10-25,McLaren,Ayrton Senna,3,R,26,0.0,Engine
20490,532,Australian Grand Prix,1992,16,1992-11-08,McLaren,Ayrton Senna,2,R,21,0.0,Collision
2531,533,South African Grand Prix,1993,1,1993-03-14,McLaren,Ayrton Senna,2,2,2,6.0,Finished
2340,534,Brazilian Grand Prix,1993,2,1993-03-28,McLaren,Ayrton Senna,3,1,1,10.0,Finished
5432,535,European Grand Prix,1993,3,1993-04-11,McLaren,Ayrton Senna,4,1,1,10.0,Finished
20949,536,San Marino Grand Prix,1993,4,1993-04-25,McLaren,Ayrton Senna,4,R,12,0.0,Hydraulics
5314,537,Spanish Grand Prix,1993,5,1993-05-09,McLaren,Ayrton Senna,3,2,2,6.0,Finished
928,538,Monaco Grand Prix,1993,6,1993-05-23,McLaren,Ayrton Senna,3,1,1,10.0,Finished
17884,539,Canadian Grand Prix,1993,7,1993-06-13,McLaren,Ayrton Senna,8,18,18,0.0,Electrical
5183,540,French Grand Prix,1993,8,1993-07-04,McLaren,Ayrton Senna,5,4,4,3.0,Finished
14312,541,British Grand Prix,1993,9,1993-07-11,McLaren,Ayrton Senna,4,5,5,2.0,Out of fuel
2831,542,German Grand Prix,1993,10,1993-07-25,McLaren,Ayrton Senna,4,4,4,3.0,Finished
7535,543,Hungarian Grand Prix,1993,11,1993-08-15,McLaren,Ayrton Senna,4,R,24,0.0,Throttle
1229,544,Belgian Grand Prix,1993,12,1993-08-29,McLaren,Ayrton Senna,5,4,4,3.0,Finished
20048,545,Italian Grand Prix,1993,13,1993-09-12,McLaren,Ayrton Senna,4,R,21,0.0,Collision
13781,546,Portuguese Grand Prix,1993,14,1993-09-26,McLaren,Ayrton Senna,4,R,24,0.0,Engine
4956,547,Japanese Grand Prix,1993,15,1993-10-24,McLaren,Ayrton Senna,2,1,1,10.0,Finished
3559,548,Australian Grand Prix,1993,16,1993-11-07,McLaren,Ayrton Senna,1,1,1,10.0,Finished
19103,549,Brazilian Grand Prix,1994,1,1994-03-27,Williams,Ayrton Senna,1,R,13,0.0,Spun off
20715,550,Pacific Grand Prix,1994,2,1994-04-17,Williams,Ayrton Senna,1,R,24,0.0,Collision
15512,551,San Marino Grand Prix,1994,3,1994-05-01,Williams,Ayrton Senna,1,R,22,0.0,Accident
