year,team,p_average
1959,Maserati,17.714285714285715
1959,Moore,12.0
1959,Phillips,24.0
1959,Porsche,14.375
1959,Sutton,30.0
1959,Tec Mec,13.0
1959,Vanwall,24.0
1959,Watson,10.5
1960,Aston Martin,19.0
1960,BRM,12.0625
1960,Christensen,18.0
1960,Cooper,10.777116402116402
1960,Epperly,18.833333333333332
1960,Ewing,26.5
1960,Ferrari,7.5062500000000005
1960,JBW,14.333333333333334
1960,Kurtis Kraft,21.875
1960,Kuzma,12.5
1960,Lesovsky,5.0
1960,Lotus,9.981250000000001
1960,Maserati,16.0
1960,Meskowski,12.0
1960,Phillips,4.0
1960,Porsche,9.833333333333334
1960,Scarab,18.7
1960,Trevis,7.5
1960,Vanwall,18.0
1960,Watson,16.125
1961,BRM,13.375
1961,Cooper,14.511847527472527
1961,De Tomaso,26.555555555555557
1961,Emeryson,30.0
1961,Ferguson,30.0
1961,Ferrari,9.127083333333333
1961,Gilby,15.0
1961,JBW,25.5
1961,Lotus,15.61388888888889
1961,MBM,34.0
1961,Porsche,9.729166666666666
1962,BRM,8.750000000000002
1962,Brabham,8.666666666666666
1962,Cooper,9.35925925925926
1962,De Tomaso,24.0
1962,ENB,16.0
1962,Emeryson,18.25
1962,Ferrari,14.852083333333335
1962,Gilby,23.5
1962,LDS,13.0
1962,Lola,12.666666666666666
1962,Lotus,14.281790123456789
1962,Porsche,12.466666666666667
1963,A-T-S,20.22222222222222
1963,Alfa Special,15.0
1963,BRM,8.5
1963,BRP,15.142857142857142
1963,Brabham,9.383333333333333
1963,Cooper,10.226666666666667
1963,De Tomaso,24.333333333333332
1963,Ferrari,11.883333333333333
1963,Gilby,17.0
1963,LDS,15.5
1963,Lola,14.833333333333334
1963,Lotus,12.777777777777775
1963,Porsche,12.0625
1963,Scirocco,21.428571428571427
1963,Stebro,15.5
1964,A-T-S,16.0
1964,BRM,11.344999999999999
1964,BRP,13.38888888888889
1964,Brabham,11.364047619047618
1964,Cooper,12.000000000000002
1964,Ferrari,7.85
1964,Honda,16.5
1964,Lotus,11.968333333333332
1964,Porsche,17.0
1964,Scirocco,22.333333333333332
1965,Alfa Special,10.0
1965,BRM,8.52
1965,Brabham,11.225436507936507
1965,Cooper,11.809999999999999
1965,Ferrari,9.575
1965,Honda,14.055555555555555
1965,LDS,13.0
1965,Lotus,11.771666666666665
1965,Realpha,33.0
1966,BRM,11.703703703703702
1966,BRP,25.0
1966,Brabham,9.514814814814816
1966,Brabham *,21.75
1966,Cooper,10.203703703703702
1966,Cooper *,32.0
1966,Eagle,13.0
1966,Ferrari,10.8125
1966,Honda,10.0
1966,Lola *,32.0
1966,Lotus,12.088888888888889
1966,Lotus *,24.333333333333332
1966,Matra *,13.25
1966,McLaren,16.625
1966,Shannon,22.5
1967,BRM,11.745454545454544
1967,Brabham,6.340909090909091
1967,Brabham *,16.0
1967,Cooper,11.403030303030304
1967,Eagle,15.15151515151515
1967,Ferrari,7.683333333333333
1967,Honda,8.4
1967,LDS,9.0
1967,Lola,17.0
1967,Lola *,18.0
1967,Lotus,10.21969696969697
1967,Lotus *,5.0
1967,Matra,12.25
1967,Matra *,18.5
1967,McLaren,12.25
1967,Protos *,17.5
1968,BRM,11.47638888888889
1968,Brabham,12.873611111111112
1968,Cooper,12.798611111111109
1968,Eagle,15.875
1968,Ferrari,10.590909090909092
1968,Honda,10.875
1968,LDS,15.0
1968,Lola,14.5
1968,Lotus,9.715277777777777
