race,Nico Rosberg,Lewis Hamilton
Australia,2,1
Malaysia,3,2
China,2,1
Bahrain,3,1
Spain,1,2
Monaco,1,3
Canada,2,1
Austria,1,2
Britain,2,1
Hungary,8,6
Belgium,2,1
Italy,17,1
Singapore,4,18
Japan,2,1
Russia,18,1
U.S.,2,1
Mexico,1,2
Brazil,1,2
Abu Dhabi,1,2
