year,round,date,prix,winnerFirstName,winnerLastName,winnerDriverCode,winnerConstructor,laps,timeraceUrl
1950,1,13 May 1950,Great Britain,Nino,Farina,FAR,Alfa Romeo,70,2:13:23.600,/en/results.html/1950/races/94/great-britain/race-result.html
1950,2,21 May 1950,Monaco,Juan Manuel,Fangio,FAN,Alfa Romeo,100,3:13:18.700,/en/results.html/1950/races/95/monaco/race-result.html
1950,3,30 May 1950,Indianapolis 500,Johnnie,Parsons,PAR,Kurtis Kraft Offenhauser,138,2:46:55.970,/en/results.html/1950/races/96/indianapolis-500/race-result.html
1950,4,04 Jun 1950,Switzerland,Nino,Farina,FAR,Alfa Romeo,42,2:02:53.700,/en/results.html/1950/races/97/switzerland/race-result.html
1950,5,18 Jun 1950,Belgium,Juan Manuel,Fangio,FAN,Alfa Romeo,35,2:47:26.000,/en/results.html/1950/races/98/belgium/race-result.html
1950,6,02 Jul 1950,France,Juan Manuel,Fangio,FAN,Alfa Romeo,64,2:57:52.800,/en/results.html/1950/races/99/france/race-result.html
1950,7,03 Sep 1950,Italy,Nino,Farina,FAR,Alfa Romeo,80,2:51:17.400,/en/results.html/1950/races/100/italy/race-result.html
