year,date,prix,winner,constructor,raceUrl
1986,26 Oct 1986,Australia,"Alain
Prost
PRO",McLaren TAG,/en/results.html/1986/races/513/australia/race-result.html
1987,12 Apr 1987,Brazil,"Alain
Prost
PRO",McLaren TAG,/en/results.html/1987/races/5/brazil/race-result.html
1987,03 May 1987,San Marino,"Nigel
Mansell
MAN",Williams Honda,/en/results.html/1987/races/6/san-marino/race-result.html
1987,17 May 1987,Belgium,"Alain
Prost
PRO",McLaren TAG,/en/results.html/1987/races/7/belgium/race-result.html
1987,31 May 1987,Monaco,"Ayrton
Senna
SEN",Lotus Honda,/en/results.html/1987/races/514/monaco/race-result.html
1987,21 Jun 1987,Detroit,"Ayrton
Senna
SEN",Lotus Honda,/en/results.html/1987/races/515/detroit/race-result.html
1987,05 Jul 1987,France,"Nigel
Mansell
MAN",Williams Honda,/en/results.html/1987/races/516/france/race-result.html
1987,12 Jul 1987,Great Britain,"Nigel
Mansell
MAN",Williams Honda,/en/results.html/1987/races/517/great-britain/race-result.html
1987,26 Jul 1987,Germany,"Nelson
Piquet
PIQ",Williams Honda,/en/results.html/1987/races/518/germany/race-result.html
1987,09 Aug 1987,Hungary,"Nelson
Piquet
PIQ",Williams Honda,/en/results.html/1987/races/519/hungary/race-result.html
1987,16 Aug 1987,Austria,"Nigel
Mansell
MAN",Williams Honda,/en/results.html/1987/races/520/austria/race-result.html
1987,06 Sep 1987,Italy,"Nelson
Piquet
PIQ",Williams Honda,/en/results.html/1987/races/521/italy/race-result.html
1987,20 Sep 1987,Portugal,"Alain
Prost
PRO",McLaren TAG,/en/results.html/1987/races/522/portugal/race-result.html
1987,27 Sep 1987,Spain,"Nigel
Mansell
MAN",Williams Honda,/en/results.html/1987/races/523/spain/race-result.html
1987,18 Oct 1987,Mexico,"Nigel
Mansell
MAN",Williams Honda,/en/results.html/1987/races/524/mexico/race-result.html
1987,01 Nov 1987,Japan,"Gerhard
Berger
BER",Ferrari,/en/results.html/1987/races/525/japan/race-result.html
1987,15 Nov 1987,Australia,"Gerhard
Berger
BER",Ferrari,/en/results.html/1987/races/526/australia/race-result.html
1988,03 Apr 1988,Brazil,"Alain
Prost
PRO",McLaren Honda,/en/results.html/1988/races/527/brazil/race-result.html
1988,01 May 1988,San Marino,"Ayrton
Senna
SEN",McLaren Honda,/en/results.html/1988/races/528/san-marino/race-result.html
1988,15 May 1988,Monaco,"Alain
Prost
PRO",McLaren Honda,/en/results.html/1988/races/529/monaco/race-result.html
1988,29 May 1988,Mexico,"Alain
Prost
PRO",McLaren Honda,/en/results.html/1988/races/530/mexico/race-result.html
1988,12 Jun 1988,Canada,"Ayrton
Senna
SEN",McLaren Honda,/en/results.html/1988/races/531/canada/race-result.html
1988,19 Jun 1988,Detroit,"Ayrton
Senna
SEN",McLaren Honda,/en/results.html/1988/races/532/detroit/race-result.html
1988,03 Jul 1988,France,"Alain
Prost
PRO",McLaren Honda,/en/results.html/1988/races/533/france/race-result.html
1988,10 Jul 1988,Great Britain,"Ayrton
Senna
SEN",McLaren Honda,/en/results.html/1988/races/534/great-britain/race-result.html
1988,24 Jul 1988,Germany,"Ayrton
Senna
SEN",McLaren Honda,/en/results.html/1988/races/535/germany/race-result.html
1988,07 Aug 1988,Hungary,"Ayrton
Senna
SEN",McLaren Honda,/en/results.html/1988/races/536/hungary/race-result.html
1988,28 Aug 1988,Belgium,"Ayrton
Senna
SEN",McLaren Honda,/en/results.html/1988/races/537/belgium/race-result.html
1988,11 Sep 1988,Italy,"Gerhard
Berger
BER",Ferrari,/en/results.html/1988/races/538/italy/race-result.html
1988,25 Sep 1988,Portugal,"Alain
Prost
PRO",McLaren Honda,/en/results.html/1988/races/539/portugal/race-result.html
1988,02 Oct 1988,Spain,"Alain
Prost
PRO",McLaren Honda,/en/results.html/1988/races/540/spain/race-result.html
1988,30 Oct 1988,Japan,"Ayrton
Senna
SEN",McLaren Honda,/en/results.html/1988/races/541/japan/race-result.html
1988,13 Nov 1988,Australia,"Alain
Prost
PRO",McLaren Honda,/en/results.html/1988/races/542/australia/race-result.html
1989,26 Mar 1989,Brazil,"Nigel
Mansell
MAN",Ferrari,/en/results.html/1989/races/543/brazil/race-result.html
1989,23 Apr 1989,San Marino,"Ayrton
Senna
SEN",McLaren Honda,/en/results.html/1989/races/544/san-marino/race-result.html
1989,07 May 1989,Monaco,"Ayrton
Senna
SEN",McLaren Honda,/en/results.html/1989/races/545/monaco/race-result.html
1989,28 May 1989,Mexico,"Ayrton
Senna
SEN",McLaren Honda,/en/results.html/1989/races/546/mexico/race-result.html
1989,04 Jun 1989,United States,"Alain
Prost
PRO",McLaren Honda,/en/results.html/1989/races/547/united-states/race-result.html
1989,18 Jun 1989,Canada,"Thierry
Boutsen
BOU",Williams Renault,/en/results.html/1989/races/548/canada/race-result.html
1989,09 Jul 1989,France,"Alain
Prost
PRO",McLaren Honda,/en/results.html/1989/races/549/france/race-result.html
1989,16 Jul 1989,Great Britain,"Alain
Prost
PRO",McLaren Honda,/en/results.html/1989/races/550/great-britain/race-result.html
1989,30 Jul 1989,Germany,"Ayrton
Senna
SEN",McLaren Honda,/en/results.html/1989/races/551/germany/race-result.html
1989,13 Aug 1989,Hungary,"Nigel
Mansell
MAN",Ferrari,/en/results.html/1989/races/552/hungary/race-result.html
1989,27 Aug 1989,Belgium,"Ayrton
Senna
SEN",McLaren Honda,/en/results.html/1989/races/553/belgium/race-result.html
1989,10 Sep 1989,Italy,"Alain
Prost
PRO",McLaren Honda,/en/results.html/1989/races/554/italy/race-result.html
1989,24 Sep 1989,Portugal,"Gerhard
Berger
BER",Ferrari,/en/results.html/1989/races/555/portugal/race-result.html
1989,01 Oct 1989,Spain,"Ayrton
Senna
SEN",McLaren Honda,/en/results.html/1989/races/556/spain/race-result.html
1989,22 Oct 1989,Japan,"Alessandro
Nannini
NAN",Benetton Ford,/en/results.html/1989/races/557/japan/race-result.html
1989,05 Nov 1989,Australia,"Thierry
Boutsen
BOU",Williams Renault,/en/results.html/1989/races/558/australia/race-result.html
1990,11 Mar 1990,United States,"Ayrton
Senna
SEN",McLaren Honda,/en/results.html/1990/races/64/united-states/race-result.html
1990,25 Mar 1990,Brazil,"Alain
Prost
PRO",Ferrari,/en/results.html/1990/races/65/brazil/race-result.html
1990,13 May 1990,San Marino,"Riccardo
Patrese
PAT",Williams Renault,/en/results.html/1990/races/66/san-marino/race-result.html
