year,date,prix,winner,constructor,raceUrl
1996,28 Jul 1996,Germany,"Damon
Hill
HIL",Williams Renault,/en/results.html/1996/races/648/germany/race-result.html
1996,11 Aug 1996,Hungary,"Jacques
Villeneuve
VIL",Williams Renault,/en/results.html/1996/races/649/hungary/race-result.html
1996,25 Aug 1996,Belgium,"Michael
Schumacher
MSC",Ferrari,/en/results.html/1996/races/650/belgium/race-result.html
1996,08 Sep 1996,Italy,"Michael
Schumacher
MSC",Ferrari,/en/results.html/1996/races/651/italy/race-result.html
1996,22 Sep 1996,Portugal,"Jacques
Villeneuve
VIL",Williams Renault,/en/results.html/1996/races/652/portugal/race-result.html
1996,13 Oct 1996,Japan,"Damon
Hill
HIL",Williams Renault,/en/results.html/1996/races/653/japan/race-result.html
1997,09 Mar 1997,Australia,"David
Coulthard
COU",McLaren Mercedes,/en/results.html/1997/races/654/australia/race-result.html
1997,30 Mar 1997,Brazil,"Jacques
Villeneuve
VIL",Williams Renault,/en/results.html/1997/races/655/brazil/race-result.html
1997,13 Apr 1997,Argentina,"Jacques
Villeneuve
VIL",Williams Renault,/en/results.html/1997/races/656/argentina/race-result.html
1997,27 Apr 1997,San Marino,"Heinz-Harald
Frentzen
FRE",Williams Renault,/en/results.html/1997/races/657/san-marino/race-result.html
1997,11 May 1997,Monaco,"Michael
Schumacher
MSC",Ferrari,/en/results.html/1997/races/658/monaco/race-result.html
1997,25 May 1997,Spain,"Jacques
Villeneuve
VIL",Williams Renault,/en/results.html/1997/races/659/spain/race-result.html
1997,15 Jun 1997,Canada,"Michael
Schumacher
MSC",Ferrari,/en/results.html/1997/races/660/canada/race-result.html
1997,29 Jun 1997,France,"Michael
Schumacher
MSC",Ferrari,/en/results.html/1997/races/661/france/race-result.html
1997,13 Jul 1997,Great Britain,"Jacques
Villeneuve
VIL",Williams Renault,/en/results.html/1997/races/662/great-britain/race-result.html
1997,27 Jul 1997,Germany,"Gerhard
Berger
BER",Benetton Renault,/en/results.html/1997/races/663/germany/race-result.html
1997,10 Aug 1997,Hungary,"Jacques
Villeneuve
VIL",Williams Renault,/en/results.html/1997/races/664/hungary/race-result.html
1997,24 Aug 1997,Belgium,"Michael
Schumacher
MSC",Ferrari,/en/results.html/1997/races/665/belgium/race-result.html
1997,07 Sep 1997,Italy,"David
Coulthard
COU",McLaren Mercedes,/en/results.html/1997/races/666/italy/race-result.html
1997,21 Sep 1997,Austria,"Jacques
Villeneuve
VIL",Williams Renault,/en/results.html/1997/races/667/austria/race-result.html
1997,28 Sep 1997,Luxembourg,"Jacques
Villeneuve
VIL",Williams Renault,/en/results.html/1997/races/668/luxembourg/race-result.html
1997,12 Oct 1997,Japan,"Michael
Schumacher
MSC",Ferrari,/en/results.html/1997/races/669/japan/race-result.html
1997,26 Oct 1997,Europe,"Mika
Hakkinen
HAK",McLaren Mercedes,/en/results.html/1997/races/670/europe/race-result.html
1998,08 Mar 1998,Australia,"Mika
Hakkinen
HAK",McLaren Mercedes,/en/results.html/1998/races/671/australia/race-result.html
1998,29 Mar 1998,Brazil,"Mika
Hakkinen
HAK",McLaren Mercedes,/en/results.html/1998/races/672/brazil/race-result.html
1998,12 Apr 1998,Argentina,"Michael
Schumacher
MSC",Ferrari,/en/results.html/1998/races/673/argentina/race-result.html
1998,26 Apr 1998,San Marino,"David
Coulthard
COU",McLaren Mercedes,/en/results.html/1998/races/674/san-marino/race-result.html
1998,10 May 1998,Spain,"Mika
Hakkinen
HAK",McLaren Mercedes,/en/results.html/1998/races/675/spain/race-result.html
1998,24 May 1998,Monaco,"Mika
Hakkinen
HAK",McLaren Mercedes,/en/results.html/1998/races/676/monaco/race-result.html
1998,07 Jun 1998,Canada,"Michael
Schumacher
MSC",Ferrari,/en/results.html/1998/races/677/canada/race-result.html
1998,28 Jun 1998,France,"Michael
Schumacher
MSC",Ferrari,/en/results.html/1998/races/678/france/race-result.html
1998,12 Jul 1998,Great Britain,"Michael
Schumacher
MSC",Ferrari,/en/results.html/1998/races/679/great-britain/race-result.html
1998,26 Jul 1998,Austria,"Mika
Hakkinen
HAK",McLaren Mercedes,/en/results.html/1998/races/680/austria/race-result.html
1998,02 Aug 1998,Germany,"Mika
Hakkinen
HAK",McLaren Mercedes,/en/results.html/1998/races/681/germany/race-result.html
1998,16 Aug 1998,Hungary,"Michael
Schumacher
MSC",Ferrari,/en/results.html/1998/races/682/hungary/race-result.html
1998,30 Aug 1998,Belgium,"Damon
Hill
HIL",Jordan Mugen Honda,/en/results.html/1998/races/683/belgium/race-result.html
1998,13 Sep 1998,Italy,"Michael
Schumacher
MSC",Ferrari,/en/results.html/1998/races/684/italy/race-result.html
1998,27 Sep 1998,Luxembourg,"Mika
Hakkinen
HAK",McLaren Mercedes,/en/results.html/1998/races/685/luxembourg/race-result.html
1998,01 Nov 1998,Japan,"Mika
Hakkinen
HAK",McLaren Mercedes,/en/results.html/1998/races/686/japan/race-result.html
1999,07 Mar 1999,Australia,"Eddie
Irvine
IRV",Ferrari,/en/results.html/1999/races/687/australia/race-result.html
1999,11 Apr 1999,Brazil,"Mika
Hakkinen
HAK",McLaren Mercedes,/en/results.html/1999/races/688/brazil/race-result.html
1999,02 May 1999,San Marino,"Michael
Schumacher
MSC",Ferrari,/en/results.html/1999/races/689/san-marino/race-result.html
1999,16 May 1999,Monaco,"Michael
Schumacher
MSC",Ferrari,/en/results.html/1999/races/690/monaco/race-result.html
1999,30 May 1999,Spain,"Mika
Hakkinen
HAK",McLaren Mercedes,/en/results.html/1999/races/691/spain/race-result.html
1999,13 Jun 1999,Canada,"Mika
Hakkinen
HAK",McLaren Mercedes,/en/results.html/1999/races/692/canada/race-result.html
1999,27 Jun 1999,France,"Heinz-Harald
Frentzen
FRE",Jordan Mugen Honda,/en/results.html/1999/races/693/france/race-result.html
1999,11 Jul 1999,Great Britain,"David
Coulthard
COU",McLaren Mercedes,/en/results.html/1999/races/694/great-britain/race-result.html
1999,25 Jul 1999,Austria,"Eddie
Irvine
IRV",Ferrari,/en/results.html/1999/races/695/austria/race-result.html
1999,01 Aug 1999,Germany,"Eddie
Irvine
IRV",Ferrari,/en/results.html/1999/races/696/germany/race-result.html
1999,15 Aug 1999,Hungary,"Mika
Hakkinen
HAK",McLaren Mercedes,/en/results.html/1999/races/697/hungary/race-result.html
1999,29 Aug 1999,Belgium,"David
Coulthard
COU",McLaren Mercedes,/en/results.html/1999/races/698/belgium/race-result.html
1999,12 Sep 1999,Italy,"Heinz-Harald
Frentzen
FRE",Jordan Mugen Honda,/en/results.html/1999/races/699/italy/race-result.html
1999,26 Sep 1999,Europe,"Johnny
Herbert
HER",Stewart Ford,/en/results.html/1999/races/700/europe/race-result.html
1999,17 Oct 1999,Malaysia,"Eddie
Irvine
IRV",Ferrari,/en/results.html/1999/races/701/malaysia/race-result.html
1999,31 Oct 1999,Japan,"Mika
Hakkinen
HAK",McLaren Mercedes,/en/results.html/1999/races/702/japan/race-result.html
2000,12 Mar 2000,Australia,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2000/races/47/australia/race-result.html
2000,26 Mar 2000,Brazil,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2000/races/48/brazil/race-result.html
2000,09 Apr 2000,San Marino,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2000/races/49/san-marino/race-result.html
2000,23 Apr 2000,Great Britain,"David
Coulthard
COU",McLaren Mercedes,/en/results.html/2000/races/50/great-britain/race-result.html
2000,07 May 2000,Spain,"Mika
Hakkinen
HAK",McLaren Mercedes,/en/results.html/2000/races/51/spain/race-result.html
2000,21 May 2000,Europe,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2000/races/52/europe/race-result.html
2000,04 Jun 2000,Monaco,"David
Coulthard
COU",McLaren Mercedes,/en/results.html/2000/races/53/monaco/race-result.html
2000,18 Jun 2000,Canada,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2000/races/54/canada/race-result.html
2000,02 Jul 2000,France,"David
Coulthard
COU",McLaren Mercedes,/en/results.html/2000/races/55/france/race-result.html
2000,16 Jul 2000,Austria,"Mika
Hakkinen
HAK",McLaren Mercedes,/en/results.html/2000/races/56/austria/race-result.html
2000,30 Jul 2000,Germany,"Rubens
Barrichello
BAR",Ferrari,/en/results.html/2000/races/57/germany/race-result.html
2000,13 Aug 2000,Hungary,"Mika
Hakkinen
HAK",McLaren Mercedes,/en/results.html/2000/races/58/hungary/race-result.html
2000,27 Aug 2000,Belgium,"Mika
Hakkinen
HAK",McLaren Mercedes,/en/results.html/2000/races/59/belgium/race-result.html
2000,10 Sep 2000,Italy,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2000/races/60/italy/race-result.html
2000,24 Sep 2000,United States,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2000/races/61/united-states/race-result.html
2000,08 Oct 2000,Japan,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2000/races/62/japan/race-result.html
2000,22 Oct 2000,Malaysia,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2000/races/63/malaysia/race-result.html
2001,04 Mar 2001,Australia,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2001/races/703/australia/race-result.html
2001,18 Mar 2001,Malaysia,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2001/races/704/malaysia/race-result.html
2001,01 Apr 2001,Brazil,"David
Coulthard
COU",McLaren Mercedes,/en/results.html/2001/races/705/brazil/race-result.html
2001,15 Apr 2001,San Marino,"Ralf
Schumacher
RSC",Williams BMW,/en/results.html/2001/races/706/san-marino/race-result.html
2001,29 Apr 2001,Spain,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2001/races/707/spain/race-result.html
2001,13 May 2001,Austria,"David
Coulthard
COU",McLaren Mercedes,/en/results.html/2001/races/708/austria/race-result.html
2001,27 May 2001,Monaco,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2001/races/709/monaco/race-result.html
2001,10 Jun 2001,Canada,"Ralf
Schumacher
RSC",Williams BMW,/en/results.html/2001/races/710/canada/race-result.html
2001,24 Jun 2001,Europe,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2001/races/711/europe/race-result.html
2001,01 Jul 2001,France,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2001/races/712/france/race-result.html
2001,15 Jul 2001,Great Britain,"Mika
Hakkinen
HAK",McLaren Mercedes,/en/results.html/2001/races/713/great-britain/race-result.html
2001,29 Jul 2001,Germany,"Ralf
Schumacher
RSC",Williams BMW,/en/results.html/2001/races/714/germany/race-result.html
2001,19 Aug 2001,Hungary,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2001/races/715/hungary/race-result.html
2001,02 Sep 2001,Belgium,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2001/races/716/belgium/race-result.html
2001,16 Sep 2001,Italy,"Juan Pablo
Montoya
MOY",Williams BMW,/en/results.html/2001/races/717/italy/race-result.html
2001,30 Sep 2001,United States,"Mika
Hakkinen
HAK",McLaren Mercedes,/en/results.html/2001/races/718/united-states/race-result.html
2001,14 Oct 2001,Japan,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2001/races/719/japan/race-result.html
2002,03 Mar 2002,Australia,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2002/races/720/australia/race-result.html
2002,17 Mar 2002,Malaysia,"Ralf
Schumacher
RSC",Williams BMW,/en/results.html/2002/races/721/malaysia/race-result.html
2002,31 Mar 2002,Brazil,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2002/races/722/brazil/race-result.html
2002,14 Apr 2002,San Marino,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2002/races/723/san-marino/race-result.html
2002,28 Apr 2002,Spain,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2002/races/724/spain/race-result.html
2002,12 May 2002,Austria,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2002/races/725/austria/race-result.html
2002,26 May 2002,Monaco,"David
Coulthard
COU",McLaren Mercedes,/en/results.html/2002/races/726/monaco/race-result.html
2002,09 Jun 2002,Canada,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2002/races/727/canada/race-result.html
2002,23 Jun 2002,Europe,"Rubens
Barrichello
BAR",Ferrari,/en/results.html/2002/races/728/europe/race-result.html
2002,07 Jul 2002,Great Britain,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2002/races/729/great-britain/race-result.html
2002,21 Jul 2002,France,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2002/races/730/france/race-result.html
2002,28 Jul 2002,Germany,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2002/races/731/germany/race-result.html
2002,18 Aug 2002,Hungary,"Rubens
Barrichello
BAR",Ferrari,/en/results.html/2002/races/732/hungary/race-result.html
2002,01 Sep 2002,Belgium,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2002/races/733/belgium/race-result.html
2002,15 Sep 2002,Italy,"Rubens
Barrichello
BAR",Ferrari,/en/results.html/2002/races/734/italy/race-result.html
2002,29 Sep 2002,United States,"Rubens
Barrichello
BAR",Ferrari,/en/results.html/2002/races/735/united-states/race-result.html
2002,13 Oct 2002,Japan,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2002/races/736/japan/race-result.html
2003,09 Mar 2003,Australia,"David
Coulthard
COU",McLaren Mercedes,/en/results.html/2003/races/737/australia/race-result.html
2003,23 Mar 2003,Malaysia,"Kimi
RÃ¤ikkÃ¶nen
RAI",McLaren Mercedes,/en/results.html/2003/races/738/malaysia/race-result.html
2003,06 Apr 2003,Brazil,"Giancarlo
Fisichella
FIS",Jordan Ford,/en/results.html/2003/races/739/brazil/race-result.html
2003,20 Apr 2003,San Marino,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2003/races/740/san-marino/race-result.html
2003,04 May 2003,Spain,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2003/races/741/spain/race-result.html
2003,18 May 2003,Austria,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2003/races/742/austria/race-result.html
2003,01 Jun 2003,Monaco,"Juan Pablo
Montoya
MOY",Williams BMW,/en/results.html/2003/races/743/monaco/race-result.html
2003,15 Jun 2003,Canada,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2003/races/744/canada/race-result.html
2003,29 Jun 2003,Europe,"Ralf
Schumacher
RSC",Williams BMW,/en/results.html/2003/races/745/europe/race-result.html
2003,06 Jul 2003,France,"Ralf
Schumacher
RSC",Williams BMW,/en/results.html/2003/races/746/france/race-result.html
2003,20 Jul 2003,Great Britain,"Rubens
Barrichello
BAR",Ferrari,/en/results.html/2003/races/747/great-britain/race-result.html
2003,03 Aug 2003,Germany,"Juan Pablo
Montoya
MOY",Williams BMW,/en/results.html/2003/races/748/germany/race-result.html
2003,24 Aug 2003,Hungary,"Fernando
Alonso
ALO",Renault,/en/results.html/2003/races/749/hungary/race-result.html
2003,14 Sep 2003,Italy,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2003/races/750/italy/race-result.html
2003,28 Sep 2003,United States,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2003/races/751/united-states/race-result.html
2003,12 Oct 2003,Japan,"Rubens
Barrichello
BAR",Ferrari,/en/results.html/2003/races/752/japan/race-result.html
2004,07 Mar 2004,Australia,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2004/races/753/australia/race-result.html
2004,21 Mar 2004,Malaysia,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2004/races/754/malaysia/race-result.html
2004,04 Apr 2004,Bahrain,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2004/races/755/bahrain/race-result.html
2004,25 Apr 2004,San Marino,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2004/races/756/san-marino/race-result.html
2004,09 May 2004,Spain,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2004/races/757/spain/race-result.html
2004,23 May 2004,Monaco,"Jarno
Trulli
TRU",Renault,/en/results.html/2004/races/758/monaco/race-result.html
2004,30 May 2004,Europe,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2004/races/759/europe/race-result.html
2004,13 Jun 2004,Canada,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2004/races/760/canada/race-result.html
2004,20 Jun 2004,United States,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2004/races/761/united-states/race-result.html
2004,04 Jul 2004,France,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2004/races/762/france/race-result.html
2004,11 Jul 2004,Great Britain,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2004/races/763/great-britain/race-result.html
2004,25 Jul 2004,Germany,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2004/races/764/germany/race-result.html
2004,15 Aug 2004,Hungary,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2004/races/765/hungary/race-result.html
2004,29 Aug 2004,Belgium,"Kimi
RÃ¤ikkÃ¶nen
RAI",McLaren Mercedes,/en/results.html/2004/races/766/belgium/race-result.html
2004,12 Sep 2004,Italy,"Rubens
Barrichello
BAR",Ferrari,/en/results.html/2004/races/767/italy/race-result.html
2004,26 Sep 2004,China,"Rubens
Barrichello
BAR",Ferrari,/en/results.html/2004/races/768/china/race-result.html
2004,10 Oct 2004,Japan,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2004/races/769/japan/race-result.html
2004,24 Oct 2004,Brazil,"Juan Pablo
Montoya
MOY",Williams BMW,/en/results.html/2004/races/770/brazil/race-result.html
2005,06 Mar 2005,Australia,"Giancarlo
Fisichella
FIS",Renault,/en/results.html/2005/races/771/australia/race-result.html
2005,20 Mar 2005,Malaysia,"Fernando
Alonso
ALO",Renault,/en/results.html/2005/races/772/malaysia/race-result.html
2005,03 Apr 2005,Bahrain,"Fernando
Alonso
ALO",Renault,/en/results.html/2005/races/773/bahrain/race-result.html
2005,24 Apr 2005,San Marino,"Fernando
Alonso
ALO",Renault,/en/results.html/2005/races/774/san-marino/race-result.html
2005,08 May 2005,Spain,"Kimi
RÃ¤ikkÃ¶nen
RAI",McLaren Mercedes,/en/results.html/2005/races/775/spain/race-result.html
2005,22 May 2005,Monaco,"Kimi
RÃ¤ikkÃ¶nen
RAI",McLaren Mercedes,/en/results.html/2005/races/776/monaco/race-result.html
2005,29 May 2005,Europe,"Fernando
Alonso
ALO",Renault,/en/results.html/2005/races/777/europe/race-result.html
2005,12 Jun 2005,Canada,"Kimi
RÃ¤ikkÃ¶nen
RAI",McLaren Mercedes,/en/results.html/2005/races/778/canada/race-result.html
2005,19 Jun 2005,United States,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2005/races/779/united-states/race-result.html
2005,03 Jul 2005,France,"Fernando
Alonso
ALO",Renault,/en/results.html/2005/races/780/france/race-result.html
2005,10 Jul 2005,Great Britain,"Juan Pablo
Montoya
MOY",McLaren Mercedes,/en/results.html/2005/races/781/great-britain/race-result.html
2005,24 Jul 2005,Germany,"Fernando
Alonso
ALO",Renault,/en/results.html/2005/races/782/germany/race-result.html
2005,31 Jul 2005,Hungary,"Kimi
RÃ¤ikkÃ¶nen
RAI",McLaren Mercedes,/en/results.html/2005/races/783/hungary/race-result.html
2005,21 Aug 2005,Turkey,"Kimi
RÃ¤ikkÃ¶nen
RAI",McLaren Mercedes,/en/results.html/2005/races/784/turkey/race-result.html
2005,04 Sep 2005,Italy,"Juan Pablo
Montoya
MOY",McLaren Mercedes,/en/results.html/2005/races/785/italy/race-result.html
2005,11 Sep 2005,Belgium,"Kimi
RÃ¤ikkÃ¶nen
RAI",McLaren Mercedes,/en/results.html/2005/races/786/belgium/race-result.html
2005,25 Sep 2005,Brazil,"Juan Pablo
Montoya
MOY",McLaren Mercedes,/en/results.html/2005/races/787/brazil/race-result.html
2005,09 Oct 2005,Japan,"Kimi
RÃ¤ikkÃ¶nen
RAI",McLaren Mercedes,/en/results.html/2005/races/788/japan/race-result.html
2005,16 Oct 2005,China,"Fernando
Alonso
ALO",Renault,/en/results.html/2005/races/789/china/race-result.html
2006,12 Mar 2006,Bahrain,"Fernando
Alonso
ALO",Renault,/en/results.html/2006/races/790/bahrain/race-result.html
2006,19 Mar 2006,Malaysia,"Giancarlo
Fisichella
FIS",Renault,/en/results.html/2006/races/791/malaysia/race-result.html
2006,02 Apr 2006,Australia,"Fernando
Alonso
ALO",Renault,/en/results.html/2006/races/792/australia/race-result.html
2006,23 Apr 2006,San Marino,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2006/races/793/san-marino/race-result.html
2006,07 May 2006,Europe,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2006/races/794/europe/race-result.html
2006,14 May 2006,Spain,"Fernando
Alonso
ALO",Renault,/en/results.html/2006/races/795/spain/race-result.html
2006,28 May 2006,Monaco,"Fernando
Alonso
ALO",Renault,/en/results.html/2006/races/796/monaco/race-result.html
2006,11 Jun 2006,Great Britain,"Fernando
Alonso
ALO",Renault,/en/results.html/2006/races/797/great-britain/race-result.html
2006,25 Jun 2006,Canada,"Fernando
Alonso
ALO",Renault,/en/results.html/2006/races/798/canada/race-result.html
2006,02 Jul 2006,United States,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2006/races/799/united-states/race-result.html
2006,16 Jul 2006,France,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2006/races/800/france/race-result.html
2006,30 Jul 2006,Germany,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2006/races/801/germany/race-result.html
2006,06 Aug 2006,Hungary,"Jenson
Button
BUT",Honda,/en/results.html/2006/races/802/hungary/race-result.html
2006,27 Aug 2006,Turkey,"Felipe
Massa
MAS",Ferrari,/en/results.html/2006/races/803/turkey/race-result.html
2006,10 Sep 2006,Italy,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2006/races/804/italy/race-result.html
2006,01 Oct 2006,China,"Michael
Schumacher
MSC",Ferrari,/en/results.html/2006/races/805/china/race-result.html
2006,08 Oct 2006,Japan,"Fernando
Alonso
ALO",Renault,/en/results.html/2006/races/806/japan/race-result.html
2006,22 Oct 2006,Brazil,"Felipe
Massa
MAS",Ferrari,/en/results.html/2006/races/807/brazil/race-result.html
2007,18 Mar 2007,Australia,"Kimi
RÃ¤ikkÃ¶nen
RAI",Ferrari,/en/results.html/2007/races/808/australia/race-result.html
2007,08 Apr 2007,Malaysia,"Fernando
Alonso
ALO",McLaren Mercedes,/en/results.html/2007/races/809/malaysia/race-result.html
2007,15 Apr 2007,Bahrain,"Felipe
Massa
MAS",Ferrari,/en/results.html/2007/races/810/bahrain/race-result.html
2007,13 May 2007,Spain,"Felipe
Massa
MAS",Ferrari,/en/results.html/2007/races/811/spain/race-result.html
2007,27 May 2007,Monaco,"Fernando
Alonso
ALO",McLaren Mercedes,/en/results.html/2007/races/812/monaco/race-result.html
2007,10 Jun 2007,Canada,"Lewis
Hamilton
HAM",McLaren Mercedes,/en/results.html/2007/races/813/canada/race-result.html
2007,17 Jun 2007,United States,"Lewis
Hamilton
HAM",McLaren Mercedes,/en/results.html/2007/races/814/united-states/race-result.html
2007,01 Jul 2007,France,"Kimi
RÃ¤ikkÃ¶nen
RAI",Ferrari,/en/results.html/2007/races/815/france/race-result.html
2007,08 Jul 2007,Great Britain,"Kimi
RÃ¤ikkÃ¶nen
RAI",Ferrari,/en/results.html/2007/races/816/great-britain/race-result.html
2007,22 Jul 2007,Europe,"Fernando
Alonso
ALO",McLaren Mercedes,/en/results.html/2007/races/817/europe/race-result.html
2007,05 Aug 2007,Hungary,"Lewis
Hamilton
HAM",McLaren Mercedes,/en/results.html/2007/races/818/hungary/race-result.html
2007,26 Aug 2007,Turkey,"Felipe
Massa
MAS",Ferrari,/en/results.html/2007/races/819/turkey/race-result.html
2007,09 Sep 2007,Italy,"Fernando
Alonso
ALO",McLaren Mercedes,/en/results.html/2007/races/820/italy/race-result.html
2007,16 Sep 2007,Belgium,"Kimi
RÃ¤ikkÃ¶nen
RAI",Ferrari,/en/results.html/2007/races/821/belgium/race-result.html
2007,30 Sep 2007,Japan,"Lewis
Hamilton
HAM",McLaren Mercedes,/en/results.html/2007/races/822/japan/race-result.html
2007,07 Oct 2007,China,"Kimi
RÃ¤ikkÃ¶nen
RAI",Ferrari,/en/results.html/2007/races/823/china/race-result.html
2007,21 Oct 2007,Brazil,"Kimi
RÃ¤ikkÃ¶nen
RAI",Ferrari,/en/results.html/2007/races/824/brazil/race-result.html
2008,16 Mar 2008,Australia,"Lewis
Hamilton
HAM",McLaren Mercedes,/en/results.html/2008/races/825/australia/race-result.html
2008,23 Mar 2008,Malaysia,"Kimi
RÃ¤ikkÃ¶nen
RAI",Ferrari,/en/results.html/2008/races/826/malaysia/race-result.html
2008,06 Apr 2008,Bahrain,"Felipe
Massa
MAS",Ferrari,/en/results.html/2008/races/827/bahrain/race-result.html
2008,27 Apr 2008,Spain,"Kimi
RÃ¤ikkÃ¶nen
RAI",Ferrari,/en/results.html/2008/races/828/spain/race-result.html
2008,11 May 2008,Turkey,"Felipe
Massa
MAS",Ferrari,/en/results.html/2008/races/829/turkey/race-result.html
2008,25 May 2008,Monaco,"Lewis
Hamilton
HAM",McLaren Mercedes,/en/results.html/2008/races/830/monaco/race-result.html
2008,08 Jun 2008,Canada,"Robert
Kubica
KUB",Sauber BMW,/en/results.html/2008/races/831/canada/race-result.html
2008,22 Jun 2008,France,"Felipe
Massa
MAS",Ferrari,/en/results.html/2008/races/832/france/race-result.html
2008,06 Jul 2008,Great Britain,"Lewis
Hamilton
HAM",McLaren Mercedes,/en/results.html/2008/races/833/great-britain/race-result.html
2008,20 Jul 2008,Germany,"Lewis
Hamilton
HAM",McLaren Mercedes,/en/results.html/2008/races/834/germany/race-result.html
2008,03 Aug 2008,Hungary,"Heikki
Kovalainen
KOV",McLaren Mercedes,/en/results.html/2008/races/835/hungary/race-result.html
2008,24 Aug 2008,Europe,"Felipe
Massa
MAS",Ferrari,/en/results.html/2008/races/836/europe/race-result.html
2008,07 Sep 2008,Belgium,"Felipe
Massa
MAS",Ferrari,/en/results.html/2008/races/837/belgium/race-result.html
2008,14 Sep 2008,Italy,"Sebastian
Vettel
VET",STR Ferrari,/en/results.html/2008/races/838/italy/race-result.html
2008,28 Sep 2008,Singapore,"Fernando
Alonso
ALO",Renault,/en/results.html/2008/races/839/singapore/race-result.html
2008,12 Oct 2008,Japan,"Fernando
Alonso
ALO",Renault,/en/results.html/2008/races/840/japan/race-result.html
2008,19 Oct 2008,China,"Lewis
Hamilton
HAM",McLaren Mercedes,/en/results.html/2008/races/841/china/race-result.html
2008,02 Nov 2008,Brazil,"Felipe
Massa
MAS",Ferrari,/en/results.html/2008/races/842/brazil/race-result.html
2009,29 Mar 2009,Australia,"Jenson
Button
BUT",Brawn Mercedes,/en/results.html/2009/races/843/australia/race-result.html
2009,05 Apr 2009,Malaysia,"Jenson
Button
BUT",Brawn Mercedes,/en/results.html/2009/races/844/malaysia/race-result.html
2009,19 Apr 2009,China,"Sebastian
Vettel
VET",RBR Renault,/en/results.html/2009/races/845/china/race-result.html
2009,26 Apr 2009,Bahrain,"Jenson
Button
BUT",Brawn Mercedes,/en/results.html/2009/races/846/bahrain/race-result.html
2009,10 May 2009,Spain,"Jenson
Button
BUT",Brawn Mercedes,/en/results.html/2009/races/847/spain/race-result.html
2009,24 May 2009,Monaco,"Jenson
Button
BUT",Brawn Mercedes,/en/results.html/2009/races/848/monaco/race-result.html
2009,07 Jun 2009,Turkey,"Jenson
Button
BUT",Brawn Mercedes,/en/results.html/2009/races/849/turkey/race-result.html
2009,21 Jun 2009,Great Britain,"Sebastian
Vettel
VET",RBR Renault,/en/results.html/2009/races/850/great-britain/race-result.html
2009,12 Jul 2009,Germany,"Mark
Webber
WEB",RBR Renault,/en/results.html/2009/races/851/germany/race-result.html
