constructorStandingsId,raceId,constructorId,points,position,positionText,wins,raceId2
154,32,5,31.0,6,6,1,800
155,32,6,134.0,2,2,7,800
156,32,7,46.0,5,5,0,800
157,32,9,28.0,7,7,0,800
158,32,11,14.0,9,9,0,800
159,32,10,0.0,10,10,0,800
160,32,8,0.0,11,11,0,800
161,33,1,135.0,2,2,5,801
162,33,2,128.0,3,3,1,801
163,33,3,26.0,8,8,0,801
164,33,4,66.0,4,4,2,801
165,33,5,34.0,6,6,1,801
166,33,6,142.0,1,1,7,801
167,33,7,50.0,5,5,0,801
168,33,9,29.0,7,7,0,801
169,33,11,14.0,9,9,0,801
170,33,10,0.0,10,10,0,801
171,33,8,0.0,11,11,0,801
1643,34,8,0.0,11,11,0,802
1642,34,10,0.0,10,10,0,802
1641,34,11,14.0,9,9,0,802
1640,34,9,29.0,7,7,0,802
1639,34,7,52.0,5,5,0,802
1638,34,6,156.0,1,1,7,802
1637,34,5,34.0,6,6,1,802
1636,34,4,72.0,4,4,2,802
1635,34,3,26.0,8,8,0,802
1634,34,2,135.0,3,3,1,802
1633,34,1,145.0,2,2,6,802
183,35,1,151.0,2,2,6,803
184,35,2,135.0,3,3,1,803
185,35,3,26.0,8,8,0,803
186,35,4,80.0,4,4,2,803
187,35,5,39.0,6,6,1,803
188,35,6,172.0,1,1,8,803
189,35,7,56.0,5,5,0,803
190,35,9,29.0,7,7,0,803
191,35,11,14.0,9,9,0,803
192,35,10,0.0,10,10,0,803
193,35,8,0.0,11,11,0,803
25742,36,5,0.0,9,9,0,769
25741,36,9,0.0,8,8,0,769
25740,36,8,0.0,7,7,0,769
25739,36,11,0.0,6,6,0,769
25738,36,7,1.0,5,5,0,769
25737,36,3,2.0,4,4,0,769
25736,36,4,4.0,3,3,0,769
25735,36,2,5.0,2,2,0,769
25734,36,1,14.0,11,E,0,769
25733,36,6,13.0,1,1,1,769
25743,36,12,0.0,10,10,0,769
25753,37,5,0.0,9,9,0,770
25752,37,9,0.0,6,6,0,770
25751,37,8,0.0,8,8,0,770
25750,37,11,0.0,7,7,0,770
25749,37,7,3.0,4,4,0,770
25748,37,3,2.0,5,5,0,770
25747,37,4,8.0,3,3,0,770
25746,37,2,10.0,2,2,0,770
25745,37,1,32.0,11,E,1,770
25744,37,6,23.0,1,1,1,770
25754,37,12,0.0,10,10,0,770
25764,38,5,0.0,9,9,0,771
25763,38,9,0.0,6,6,0,771
25762,38,8,0.0,8,8,0,771
25761,38,11,0.0,7,7,0,771
25760,38,7,5.0,4,4,0,771
25759,38,3,2.0,5,5,0,771
25758,38,4,9.0,3,3,0,771
25757,38,2,18.0,2,2,0,771
25756,38,1,44.0,11,E,1,771
25755,38,6,39.0,1,1,2,771
25765,38,12,0.0,10,10,0,771
25775,39,5,0.0,10,10,0,772
25774,39,9,4.0,6,6,0,772
25773,39,8,1.0,7,7,0,772
25772,39,11,0.0,8,8,0,772
25771,39,7,5.0,5,5,0,772
25770,39,3,5.0,4,4,0,772
25769,39,4,11.0,3,3,0,772
25768,39,2,23.0,2,2,0,772
25767,39,1,58.0,11,E,1,772
25766,39,6,49.0,1,1,3,772
25776,39,12,0.0,9,9,0,772
25786,40,5,0.0,8,8,0,773
25785,40,9,4.0,6,6,0,773
25784,40,8,1.0,7,7,0,773
25783,40,11,0.0,9,9,0,773
25782,40,7,5.0,5,5,0,773
25781,40,3,7.0,4,4,0,773
25780,40,4,16.0,3,3,0,773
25779,40,2,30.0,2,2,0,773
25778,40,1,76.0,11,E,2,773
25777,40,6,56.0,1,1,3,773
25787,40,12,0.0,10,10,0,773
25797,41,5,0.0,8,8,0,774
25796,41,9,4.0,6,6,0,774
25795,41,8,4.0,7,7,0,774
25794,41,11,0.0,9,9,0,774
25793,41,7,6.0,5,5,0,774
25792,41,3,13.0,4,4,0,774
25791,41,4,21.0,3,3,0,774
25790,41,2,38.0,2,2,0,774
25789,41,1,88.0,11,E,3,774
25788,41,6,60.0,1,1,3,774
25798,41,12,0.0,10,10,0,774
25808,42,5,0.0,8,8,0,775
25807,42,9,6.0,6,6,0,775
25806,42,8,4.0,7,7,0,775
25805,42,11,0.0,9,9,0,775
25804,42,7,9.0,5,5,0,775
25803,42,3,13.0,4,4,0,775
25802,42,4,25.0,3,3,0,775
25801,42,2,39.0,2,2,0,775
25800,42,1,106.0,11,E,4,775
25799,42,6,71.0,1,1,3,775
25809,42,12,0.0,10,10,0,775
25819,43,5,0.0,9,9,0,776
25818,43,9,6.0,6,6,0,776
25817,43,8,4.0,7,7,0,776
25816,43,11,1.0,8,8,0,776
25815,43,7,9.0,5,5,0,776
25814,43,3,13.0,4,4,0,776
25813,43,4,28.0,3,3,0,776
25812,43,2,48.0,2,2,0,776
25811,43,1,114.0,11,E,4,776
25810,43,6,89.0,1,1,4,776
