year,constructor_clean,podiums,races,available_podium_spots,podium_percentage,num_drivers_v1,num_drivers_v2,podium_percentage_perdriver_v1,podium_percentage_perdriver_v2
1950,Alfa Romeo,12,7,18,0.6666666666666666,6,4,0.14285714285714285,0.21428571428571427
1951,Alfa Romeo,9,9,21,0.42857142857142855,7,4,0.07142857142857142,0.125
1952,Ferrari,17,8,22,0.7727272727272727,15,6,0.07083333333333333,0.17708333333333334
1953,Ferrari,16,9,24,0.6666666666666666,11,4,0.0808080808080808,0.2222222222222222
1954,Mercedes,7,9,17,0.4117647058823529,4,3,0.09722222222222222,0.12962962962962962
1955,Mercedes,10,7,18,0.5555555555555556,6,4,0.11904761904761905,0.17857142857142858
1956,Ferrari,10,9,21,0.47619047619047616,9,5,0.0617283950617284,0.11111111111111112
1957,Maserati,10,9,21,0.47619047619047616,16,7,0.034722222222222224,0.07936507936507937
1958,Ferrari,14,11,29,0.4827586206896552,6,3,0.10606060606060606,0.21212121212121213
1959,Cooper,13,9,24,0.5416666666666666,12,5,0.06018518518518518,0.14444444444444443
1960,Cooper,14,10,27,0.5185185185185185,21,5,0.03333333333333333,0.13999999999999999
1961,Ferrari,14,7,21,0.6666666666666666,7,3,0.14285714285714285,0.3333333333333333
1962,BRM,8,9,19,0.42105263157894735,3,2,0.14814814814814814,0.2222222222222222
1963,Lotus,9,10,27,0.3333333333333333,9,3,0.05,0.15
1964,Ferrari,10,10,22,0.45454545454545453,4,2,0.125,0.25
1965,Lotus,7,10,23,0.30434782608695654,6,2,0.05833333333333333,0.175
1966,Brabham,9,9,17,0.5294117647058824,3,1,0.16666666666666666,0.5
1967,Brabham,14,11,27,0.5185185185185185,3,2,0.21212121212121213,0.3181818181818182
1968,Lotus,9,12,33,0.2727272727272727,7,2,0.05357142857142857,0.1875
1969,Matra,10,11,25,0.4,3,2,0.15151515151515152,0.22727272727272727
1970,Lotus,7,13,32,0.21875,8,5,0.03365384615384615,0.05384615384615384
1971,Tyrrell,11,11,23,0.4782608695652174,3,2,0.16666666666666666,0.25
1972,Lotus,8,12,27,0.2962962962962963,4,2,0.08333333333333333,0.16666666666666666
1973,Tyrrell,15,14,30,0.5,4,2,0.13392857142857142,0.26785714285714285
1974,McLaren,10,15,45,0.2222222222222222,6,3,0.05555555555555555,0.1111111111111111
1975,Ferrari,11,14,28,0.39285714285714285,2,2,0.19642857142857142,0.19642857142857142
1976,McLaren,10,16,32,0.3125,2,2,0.15625,0.15625
1977,Ferrari,16,17,33,0.48484848484848486,3,2,0.1568627450980392,0.23529411764705882
1978,Lotus,14,16,41,0.34146341463414637,4,2,0.109375,0.21875
1979,Ferrari,13,15,30,0.43333333333333335,2,2,0.21666666666666667,0.21666666666666667
1980,Williams,18,14,34,0.5294117647058824,3,2,0.2142857142857143,0.32142857142857145
1981,Brabham,7,15,29,0.2413793103448276,2,2,0.11666666666666667,0.11666666666666667
1982,Williams,7,16,30,0.23333333333333334,4,2,0.0546875,0.109375
1983,Brabham,10,15,29,0.3448275862068966,2,2,0.16666666666666666,0.16666666666666666
1984,McLaren,18,16,32,0.5625,2,2,0.28125,0.28125
1985,McLaren,12,16,30,0.4,3,2,0.125,0.1875
1986,McLaren,12,16,32,0.375,2,2,0.1875,0.1875
1987,Williams,18,16,30,0.6,3,2,0.1875,0.28125
1988,McLaren,25,16,32,0.78125,2,2,0.390625,0.390625
1989,McLaren,18,16,29,0.6206896551724138,2,2,0.28125,0.28125
1990,McLaren,18,16,31,0.5806451612903226,2,2,0.28125,0.28125
1991,McLaren,18,16,32,0.5625,2,2,0.28125,0.28125
1992,Williams,21,16,32,0.65625,2,2,0.328125,0.328125
1993,Williams,22,16,32,0.6875,2,2,0.34375,0.34375
1994,Benetton,12,16,29,0.41379310344827586,4,2,0.09375,0.1875
1995,Benetton,15,17,34,0.4411764705882353,2,2,0.22058823529411764,0.22058823529411764
1996,Williams,21,16,32,0.65625,2,2,0.328125,0.328125
1997,Williams,15,17,33,0.45454545454545453,2,2,0.22058823529411764,0.22058823529411764
1998,McLaren,20,16,32,0.625,2,2,0.3125,0.3125
1999,McLaren,16,16,32,0.5,2,2,0.25,0.25
2000,Ferrari,21,17,34,0.6176470588235294,2,2,0.3088235294117647,0.3088235294117647
2001,Ferrari,24,17,34,0.7058823529411765,2,2,0.35294117647058826,0.35294117647058826
2002,Ferrari,27,17,34,0.7941176470588235,2,2,0.39705882352941174,0.39705882352941174
2003,Ferrari,16,16,32,0.5,2,2,0.25,0.25
2004,Ferrari,29,18,36,0.8055555555555556,2,2,0.4027777777777778,0.4027777777777778
2005,Renault,18,19,38,0.47368421052631576,2,2,0.23684210526315788,0.23684210526315788
2006,Renault,19,18,36,0.5277777777777778,2,2,0.2638888888888889,0.2638888888888889
2007,Ferrari,22,17,33,0.6666666666666666,2,2,0.3235294117647059,0.3235294117647059
2008,McLaren,13,18,36,0.3611111111111111,2,2,0.18055555555555555,0.18055555555555555
2009,Brawn GP,15,17,34,0.4411764705882353,2,2,0.22058823529411764,0.22058823529411764
2010,Red Bull,20,19,38,0.5263157894736842,2,2,0.2631578947368421,0.2631578947368421
2011,Red Bull,27,19,38,0.7105263157894737,2,2,0.35526315789473684,0.35526315789473684
2012,Red Bull,14,20,40,0.35,2,2,0.175,0.175
2013,Red Bull,24,19,38,0.631578947368421,2,2,0.3157894736842105,0.3157894736842105
2014,Mercedes,31,19,38,0.8157894736842105,2,2,0.40789473684210525,0.40789473684210525
2015,Mercedes,32,19,38,0.8421052631578947,2,2,0.42105263157894735,0.42105263157894735
2016,Mercedes,33,21,42,0.7857142857142857,2,2,0.39285714285714285,0.39285714285714285
2017,Mercedes,26,20,40,0.65,2,2,0.325,0.325
2018,Mercedes,25,21,42,0.5952380952380952,2,2,0.2976190476190476,0.2976190476190476
