year,team,run_id,wins,win_percentage,podium_spots_claimed,podium_percentage,p_average,distance_rank,b1,a1,b2,a2,a3,distance_main,rank_main,two_dgit,rank
1978,Lotus,Lotus 1978,8,50,14,34.14634146,9.645833333,88.8031531,0.388888889,0.5,0.269230769,0.233221744,0.673850159,0.870899775,0.308620632,0.87,36
1995,Benetton,Benetton 1995,11,64.70588235,15,44.11764706,6.676470588,54.79051013,0.555555556,0.668067227,0.307692308,0.385941305,0.364631013,0.85335824,0.29248161,0.85,37
1983,Brabham,Brabham 1983,4,26.66666667,10,33.33333333,10.73333333,106.8316433,0.166666667,0.233333333,0.115384615,0.220769789,0.78709864,0.850122352,0.289504444,0.85,37
1966,Brabham,Brabham 1966,4,44.44444444,9,37.5,9.514814815,88.18163074,0.166666667,0.436507936,0.076923077,0.284586057,0.660206344,0.841071233,0.281176997,0.84,39
2018,Mercedes,Mercedes 2018,11,52.38095238,25,59.52380952,3.857142857,39.05124838,0.555555556,0.527210884,0.692307692,0.621900612,0.071035993,0.818387317,0.260306747,0.82,40
1980,Williams,Williams 1980,6,42.85714286,18,56.25,7,63.03967005,0.277777778,0.418367347,0.423076923,0.571759259,0.398322245,0.812773337,0.255141627,0.81,41
1985,McLaren,McLaren 1985,6,37.5,12,37.5,9.5,93.56281313,0.277777778,0.357142857,0.192307692,0.284586057,0.658663581,0.801484845,0.244755693,0.80,42
1990,McLaren,McLaren 1990,6,37.5,18,56.25,7.3125,69.3181073,0.277777778,0.357142857,0.423076923,0.571759259,0.430864912,0.800065149,0.243449508,0.80,42
1968,Lotus,Lotus 1968,5,41.66666667,9,25.71428571,9.715277778,100.8166653,0.222222222,0.404761905,0.076923077,0.104077186,0.681081863,0.799084954,0.242547683,0.80,42
1999,McLaren,McLaren 1999,7,43.75,16,50,7.75,71.81225522,0.333333333,0.428571429,0.346153846,0.476034858,0.476424646,0.798287604,0.241814084,0.80,42
1951,Alfa Romeo,Alfa Romeo 1951,4,50,9,42.85714286,7.642857143,70.57619995,0.166666667,0.5,0.076923077,0.366635543,0.46526716,0.775174272,0.220548752,0.78,46
1997,Williams,Williams 1997,8,47.05882353,15,44.11764706,7.823529412,73.93240156,0.388888889,0.466386555,0.307692308,0.385941305,0.484081744,0.775114342,0.220493614,0.78,46
1962,BRM,BRM 1962,4,44.44444444,8,36.36363636,8.75,86.44651526,0.166666667,0.436507936,0.038461538,0.26718162,0.58056118,0.773935708,0.219409216,0.77,48
2010,Red Bull,Red Bull 2010,9,47.36842105,20,52.63157895,6.052631579,54.79051013,0.444444444,0.469924812,0.5,0.516339869,0.29966658,0.759760652,0.206367511,0.76,49
2003,Ferrari,Ferrari 2003,8,50,16,50,6.09375,52.66877633,0.388888889,0.5,0.346153846,0.476034858,0.30394851,0.754316832,0.201358945,0.75,50
1976,McLaren,McLaren 1976,6,37.5,10,31.25,9.15625,97.74968031,0.277777778,0.357142857,0.115384615,0.188861656,0.622866647,0.742416733,0.190410305,0.74,51
1981,Brabham,Brabham 1981,3,20,7,24.13793103,9.866666667,110.968464,0.111111111,0.157142857,0,0.079933889,0.696846977,0.718803877,0.168685387,0.72,52
1969,Matra,Matra 1969,6,54.54545455,10,38.46153846,6.28030303,63.85138996,0.277777778,0.551948052,0.115384615,0.299312887,0.323375496,0.706262393,0.157146644,0.71,53
2006,Renault,Renault 2006,8,44.44444444,19,52.77777778,4.916666667,55.06359959,0.388888889,0.436507936,0.461538462,0.518579037,0.181371131,0.701682893,0.152933293,0.70,54
2005,Renault,Renault 2005,8,42.10526316,18,47.36842105,6.684210526,70.32069397,0.388888889,0.409774436,0.423076923,0.435729847,0.365437023,0.700942085,0.152251714,0.70,54
1986,McLaren,McLaren 1986,4,25,12,37.5,8.96875,97.62171889,0.166666667,0.214285714,0.192307692,0.284586057,0.603341047,0.700662551,0.15199453,0.70,54
1974,McLaren,McLaren 1974,4,26.66666667,10,22.22222222,9.455555556,107.2800075,0.166666667,0.233333333,0.115384615,0.050593077,0.654035291,0.696251582,0.147936235,0.70,54
1964,Ferrari,Ferrari 1964,3,30,10,45.45454545,7.85,86.37708029,0.111111111,0.271428571,0.115384615,0.406417112,0.486838299,0.689825969,0.142024375,0.69,58
1977,Ferrari,Ferrari 1977,4,23.52941176,16,45.71428571,8,89.33644273,0.166666667,0.197478992,0.346153846,0.410395269,0.502458779,0.678149728,0.131281695,0.68,59
1958,Ferrari,Ferrari 1958,2,18.18181818,14,46.66666667,8.05,90.89004346,0.055555556,0.136363636,0.269230769,0.424981845,0.507665606,0.675965219,0.129271845,0.68,59
1975,Ferrari,Ferrari 1975,6,42.85714286,11,39.28571429,7.214285714,77.82673063,0.277777778,0.418367347,0.153846154,0.311935885,0.420637216,0.670276735,0.124038178,0.67,61
1973,Tyrrell,Tyrrell 1973,5,33.33333333,15,45.45454545,6.988888889,79.40403012,0.222222222,0.309523809,0.307692308,0.406417112,0.397165172,0.647085799,0.102701447,0.65,62
1954,Mercedes,Mercedes 1954,4,44.44444444,7,41.17647059,6.083333333,69.43342135,0.166666667,0.436507936,0,0.340894528,0.302863755,0.631248534,0.088130432,0.63,63
2009,Brawn GP,Brawn GP 2009,8,47.05882353,15,44.11764706,4.882352941,61.32699243,0.388888889,0.466386555,0.307692308,0.385941305,0.177797819,0.630935158,0.087842111,0.63,63
1967,Brabham,Brabham 1967,4,36.36363636,14,45.16129032,6.340909091,76.40680598,0.166666667,0.344155844,0.269230769,0.401925645,0.329686801,0.623442745,0.080948745,0.62,65
1982,Williams,Williams 1982,1,6.25,7,23.33333333,8.933333333,107.7821878,0,0,0,0.067610748,0.599652878,0.60345239,0.062556697,0.60,66
1979,Ferrari,Ferrari 1979,6,40,13,43.33333333,5.2,73.35529974,0.277777778,0.385714286,0.230769231,0.373928831,0.210876482,0.57711972,0.038329425,0.58,67
2008,McLaren,McLaren 2008,6,33.33333333,13,36.11111111,6.555555556,87.36704184,0.277777778,0.309523809,0.230769231,0.263313968,0.35203934,0.53765317,0.002018378,0.54,68
2012,Red Bull,Red Bull 2012,7,35,14,35,6.475,87.02873089,0.333333333,0.328571429,0.269230769,0.246296296,0.343650564,0.535459391,0,0.54,68
