year,team,wins,rank_win,races,win_percentage,rank_win_percentage,podium_spots_claimed,rank_podiums,podium_spots_available,podium_percentage,rank_podium_percentage,run_id,p_average,rank_p_average,perfect,delta,var,distance
1997,Williams,8,23,17,47.05882353,41,15,32,34,44.11764706,44,Williams 1997,7.823529412,43,1.5,6.323529412,20.62316176,73.93240156
1960,Cooper,6,37,10,60,23,14,36,27,51.85185185,32,Cooper 1960,10.7771164,63,4.45,6.327116402,6.065680902,74.31016081
1967,Brabham,4,56,11,36.36363636,58,14,36,31,45.16129032,43,Brabham 1967,6.340909091,25,2.045454545,4.295454545,7.811742424,76.40680598
1975,Ferrari,6,37,14,42.85714286,49,11,49,28,39.28571429,50,Ferrari 1975,7.214285714,34,1.5,5.714285714,21.18131868,77.82673063
1957,Maserati,4,56,8,50,34,10,51,21,47.61904762,37,Maserati 1957,10.17568027,61,4.1875,5.988180272,12.48866395,79.03163923
1973,Tyrrell,5,49,15,33.33333333,60,15,32,33,45.45454545,41,Tyrrell 1973,6.988888889,32,1.6,5.388888889,47.42645503,79.40403012
1964,Ferrari,3,66,10,30,62,10,51,22,45.45454545,41,Ferrari 1964,7.85,44,1.6,6.25,19.41635802,86.37708029
1962,BRM,4,56,9,44.44444444,44,8,63,22,36.36363636,56,BRM 1962,8.75,49,1.777777778,6.972222222,24.17361111,86.44651526
2012,Red Bull,7,31,20,35,59,14,36,40,35,58,Red Bull 2012,6.475,27,1.5,4.975,23.06513158,87.02873089
2008,McLaren,6,37,18,33.33333333,60,13,42,36,36.11111111,57,McLaren 2008,6.555555556,28,1.5,5.055555556,13.17320261,87.36704184
1966,Brabham,4,56,9,44.44444444,44,9,59,24,37.5,52,Brabham 1966,9.514814815,56,2.277777778,7.237037037,21.38982253,88.18163074
1978,Lotus,8,23,16,50,34,14,36,41,34.14634146,59,Lotus 1978,9.645833333,57,1.78125,7.864583333,43.6625,88.8031531
1994,Benetton,8,23,16,50,34,12,45,32,37.5,52,Benetton 1994,11.1875,64,1.5,9.6875,30.22916667,89.19641248
1977,Ferrari,4,56,17,23.52941176,66,16,28,35,45.71428571,40,Ferrari 1977,8,45,1.529411765,6.470588235,28,89.33644273
1958,Ferrari,2,68,11,18.18181818,68,14,36,30,46.66666667,39,Ferrari 1958,8.05,46,2.045454545,6.004545455,3.541975309,90.89004346
1985,McLaren,6,37,16,37.5,55,12,45,32,37.5,52,McLaren 1985,9.5,55,1.5,8,22.96666667,93.56281313
1963,Lotus,7,31,10,70,13,9,59,30,30,62,Lotus 1963,12.77777778,69,3.85,8.927777778,7.910336357,93.66963222
1965,Lotus,6,37,10,60,23,7,65,30,23.33333333,66,Lotus 1965,11.77166667,65,3,8.771666667,6.006608025,95.44631999
1986,McLaren,4,56,16,25,65,12,45,32,37.5,52,McLaren 1986,8.96875,51,1.5,7.46875,31.58229167,97.62171889
1976,McLaren,6,37,16,37.5,55,10,51,32,31.25,61,McLaren 1976,9.15625,53,1.5,7.65625,46.490625,97.74968031
1968,Lotus,5,49,12,41.66666667,52,9,59,35,25.71428571,64,Lotus 1968,9.715277778,58,2.083333333,7.631944444,11.23290194,100.8166653
1972,Lotus,5,49,12,41.66666667,52,8,63,27,29.62962963,63,Lotus 1972,12.30555556,66,1.666666667,10.63888889,40.39309764,105.0190459
1970,Lotus,6,37,13,46.15384615,43,7,65,37,18.91891892,69,Lotus 1970,12.61923077,67,2.230769231,10.38846154,35.39915954,105.3517916
1983,Brabham,4,56,15,26.66666667,63,10,51,30,33.33333333,60,Brabham 1983,10.73333333,62,1.5,9.233333333,17.42380952,106.8316433
1974,McLaren,4,56,15,26.66666667,63,10,51,45,22.22222222,68,McLaren 1974,9.455555556,54,2.033333333,7.422222222,23.23201058,107.2800075
1982,Williams,1,69,16,6.25,69,7,65,30,23.33333333,66,Williams 1982,8.933333333,50,1.40625,7.527083333,27.92380952,107.7821878
1981,Brabham,3,66,15,20,67,7,65,29,24.13793103,65,Brabham 1981,9.866666667,60,1.466666667,8.4,26.87380952,110.968464
