,constructorStandingsId,raceId,constructorId,points,position,positionText,wins,raceId2
0,1,18,1,14.0,1,1,1,786
1,2,18,2,8.0,3,3,0,786
2,3,18,3,9.0,2,2,0,786
3,4,18,4,5.0,4,4,0,786
4,5,18,5,2.0,5,5,0,786
5,6,18,6,1.0,6,6,0,786
6,7,19,1,24.0,1,1,1,787
7,8,19,2,19.0,2,2,0,787
8,9,19,3,9.0,4,4,0,787
9,10,19,4,6.0,5,5,0,787
10,11,19,5,2.0,8,8,0,787
11,12,19,6,11.0,3,3,1,787
12,13,19,7,5.0,6,6,0,787
13,14,19,9,2.0,7,7,0,787
14,15,19,11,0.0,9,9,0,787
15,16,19,10,0.0,10,10,0,787
16,17,19,8,0.0,11,11,0,787
17,18,20,1,28.0,3,3,1,788
18,19,20,2,30.0,1,1,0,788
19,20,20,3,10.0,4,4,0,788
20,21,20,4,6.0,6,6,0,788
21,22,20,5,2.0,8,8,0,788
22,23,20,6,29.0,2,2,2,788
23,24,20,7,8.0,5,5,0,788
24,25,20,9,4.0,7,7,0,788
25,26,20,11,0.0,9,9,0,788
26,27,20,10,0.0,10,10,0,788
27,28,20,8,0.0,11,11,0,788
28,29,21,1,34.0,3,3,1,789
29,30,21,2,35.0,2,2,0,789
30,31,21,3,12.0,4,4,0,789
31,32,21,4,6.0,7,7,0,789
32,33,21,5,2.0,9,9,0,789
33,34,21,6,47.0,1,1,3,789
34,35,21,7,9.0,5,5,0,789
35,36,21,9,8.0,6,6,0,789
36,37,21,11,3.0,8,8,0,789
37,38,21,10,0.0,10,10,0,789
38,39,21,8,0.0,11,11,0,789
39,40,22,1,42.0,3,3,1,790
40,41,22,2,44.0,2,2,0,790
41,42,22,3,13.0,4,4,0,790
42,43,22,4,9.0,7,7,0,790
43,44,22,5,2.0,9,9,0,790
44,45,22,6,63.0,1,1,4,790
45,46,22,7,9.0,6,6,0,790
46,47,22,9,10.0,5,5,0,790
47,48,22,11,3.0,8,8,0,790
48,49,22,10,0.0,10,10,0,790
49,50,22,8,0.0,11,11,0,790
50,51,23,1,53.0,2,2,2,791
51,52,23,2,52.0,3,3,0,791
52,53,23,3,15.0,4,4,0,791
53,54,23,4,9.0,7,7,0,791
54,55,23,5,6.0,8,8,0,791
55,56,23,6,69.0,1,1,4,791
56,57,23,7,9.0,6,6,0,791
57,58,23,9,15.0,5,5,0,791
58,59,23,11,6.0,9,9,0,791
59,60,23,10,0.0,10,10,0,791
60,61,23,8,0.0,11,11,0,791
61,62,24,1,53.0,3,3,2,792
62,63,24,2,70.0,2,2,1,792
63,64,24,3,15.0,6,6,0,792
64,65,24,4,9.0,7,7,0,792
65,66,24,5,7.0,9,9,0,792
66,67,24,6,73.0,1,1,4,792
67,68,24,7,17.0,5,5,0,792
