Row Labels,Count of constructor_clean
1977,19
March,1
Boro,1
Brabham,1
BRM,1
Ensign,1
Ferrari,1
Fittipaldi,1
Hesketh,1
Kojima,1
LEC,1
Ligier,1
Lotus,1
McLaren,1
Penske,1
Renault,1
Shadow,1
Surtees,1
Tyrrell,1
Wolf,1
1978,19
Arrows,1
ATS,1
Brabham,1
Ensign,1
Ferrari,1
Fittipaldi,1
Hesketh,1
Ligier,1
Lotus,1
Martini,1
McLaren,1
Merzario,1
Renault,1
Shadow,1
Surtees,1
Theodore,1
Tyrrell,1
Williams,1
Wolf,1
1979,18
Alfa Romeo,1
Arrows,1
ATS,1
Brabham,2
Ensign,1
Ferrari,1
Fittipaldi,1
Ligier,1
Lotus,1
McLaren,1
Merzario,1
Rebaque,1
Renault,1
Shadow,1
Tyrrell,1
Williams,1
Wolf,1
1980,15
Alfa Romeo,1
Arrows,1
ATS,1
Brabham,1
Ensign,1
Ferrari,1
Fittipaldi,1
Ligier,1
Lotus,1
McLaren,1
Osella,1
Renault,1
Shadow,1
Tyrrell,1
Williams,1
1981,17
March,1
Alfa Romeo,1
Arrows,1
ATS,1
Brabham,1
Ensign,1
Ferrari,1
Fittipaldi,1
Ligier,1
Lotus,1
McLaren,1
Osella,1
Renault,1
Theodore,1
Toleman,1
Tyrrell,1
Williams,1
1982,18
March,1
Alfa Romeo,1
Arrows,1
ATS,1
Brabham,2
Ensign,1
Ferrari,1
Fittipaldi,1
Ligier,1
Lotus,1
McLaren,1
Osella,1
Renault,1
Theodore,1
Toleman,1
Tyrrell,1
Williams,1
1983,20
Alfa Romeo,1
Arrows,1
ATS,1
Brabham,1
Ferrari,1
Ligier,1
Lotus,2
McLaren,2
Osella,2
RAM,1
Renault,1
Spirit,1
Theodore,1
Toleman,1
Tyrrell,1
Williams,2
1984,15
Alfa Romeo,1
Arrows,2
ATS,1
Brabham,1
Ferrari,1
Ligier,1
Lotus,1
McLaren,1
Osella,1
RAM,1
Renault,1
Spirit,1
Toleman,1
Williams,1
1985,19
Alfa Romeo,1
Arrows,1
Brabham,1
Ferrari,1
Ligier,1
Lola,1
Lotus,1
McLaren,1
Minardi,2
Osella,1
RAM,1
Renault,1
Spirit,1
Toleman,1
Tyrrell,2
Williams,1
Zakspeed,1
1986,15
AGS,1
Arrows,1
Benetton,1
Brabham,1
Ferrari,1
Ligier,1
Lola,2
Lotus,1
McLaren,1
Minardi,1
Osella,1
Tyrrell,1
Williams,1
Zakspeed,1
1987,16
March,1
AGS,1
Arrows,1
Benetton,1
Brabham,1
Coloni,1
Ferrari,1
Ligier,1
Lola,1
Lotus,1
McLaren,1
Minardi,1
Osella,1
Tyrrell,1
Williams,1
Zakspeed,1
1988,18
March,1
AGS,1
Arrows,1
Benetton,1
Coloni,1
Dallara,1
Euro Brun,1
Ferrari,1
Ligier,1
Lola,1
Lotus,1
McLaren,1
Minardi,1
Osella,1
Rial,1
Tyrrell,1
Williams,1
Zakspeed,1
1989,19
March,1
AGS,1
Arrows,1
Benetton,1
Brabham,1
Coloni,1
Dallara,1
Ferrari,1
Ligier,1
Lola,1
Lotus,1
McLaren,1
Minardi,1
Onyx,1
Osella,1
Rial,1
Tyrrell,1
Williams,1
Zakspeed,1
1990,17
AGS,1
Arrows,1
Benetton,1
Brabham,1
Dallara,1
Euro Brun,1
Ferrari,1
Leyton House,1
Ligier,1
Lola,1
Lotus,1
McLaren,1
Minardi,1
Onyx,1
Osella,1
Tyrrell,1
Williams,1
1991,17
AGS,1
Benetton,1
Brabham,1
Dallara,1
Ferrari,1
Fondmetal,1
Footwork,1
Jordan,1
Lamborghini,1
Leyton House,1
Ligier,1
Lola,1
Lotus,1
McLaren,1
Minardi,1
Tyrrell,1
Williams,1
1992,16
March,1
Benetton,1
Brabham,1
Dallara,1
Ferrari,1
Fondmetal,1
Footwork,1
Jordan,1
Ligier,1
Lotus,1
McLaren,1
Minardi,1
Moda,1
Tyrrell,1
Venturi,1
Williams,1
1993,13
Benetton,1
Ferrari,1
Footwork,1
Jordan,1
Larrousse,1
