year,team,wins,rank_win,races,win_percentage,rank_win_percentage,podium_spots_claimed,rank_podiums,podium_spots_available,podium_percentage,rank_podium_percentage,run_id,p_average,rank_p_average,perfect,delta,std,var,sum_rank,avg_rank,rank_composite
1966,Brabham,4,56,9,44.44444444,44,9,59,24,37.5,52,Brabham 1966,9.514814815,56,2.277777778,7.237037037,4.624913246,21.38982253,267,53.4,60
1967,Brabham,4,56,11,36.36363636,58,14,36,31,45.16129032,43,Brabham 1967,6.340909091,25,2.045454545,4.295454545,2.794949449,7.811742424,218,43.6,46
1968,Lotus,5,49,12,41.66666667,52,9,59,35,25.71428571,64,Lotus 1968,9.715277778,58,2.083333333,7.631944444,3.351552168,11.23290194,282,56.4,64
1969,Matra,6,37,11,54.54545455,30,10,51,26,38.46153846,51,Matra 1969,6.28030303,24,1.681818182,4.598484848,2.852940181,8.139267677,193,38.6,39
1970,Lotus,6,37,13,46.15384615,43,7,65,37,18.91891892,69,Lotus 1970,12.61923077,67,2.230769231,10.38846154,5.949719283,35.39915954,281,56.2,63
1971,Tyrrell,7,31,11,63.63636364,16,11,49,23,47.82608696,35,Tyrrell 1971,7.742424242,40,1.545454545,6.196969697,4.821458767,23.24646465,171,34.2,33
1972,Lotus,5,49,12,41.66666667,52,8,63,27,29.62962963,63,Lotus 1972,12.30555556,66,1.666666667,10.63888889,6.355556439,40.39309764,293,58.6,67
1973,Tyrrell,5,49,15,33.33333333,60,15,32,33,45.45454545,41,Tyrrell 1973,6.988888889,32,1.6,5.388888889,6.886686796,47.42645503,214,42.8,45
1974,McLaren,4,56,15,26.66666667,63,10,51,45,22.22222222,68,McLaren 1974,9.455555556,54,2.033333333,7.422222222,4.819959604,23.23201058,292,58.4,65
1975,Ferrari,6,37,14,42.85714286,49,11,49,28,39.28571429,50,Ferrari 1975,7.214285714,34,1.5,5.714285714,4.602316665,21.18131868,219,43.8,48
1976,McLaren,6,37,16,37.5,55,10,51,32,31.25,61,McLaren 1976,9.15625,53,1.5,7.65625,6.818403405,46.490625,257,51.4,58
1977,Ferrari,4,56,17,23.52941176,66,16,28,35,45.71428571,40,Ferrari 1977,8,45,1.529411765,6.470588235,5.291502622,28,235,47,51
1978,Lotus,8,23,16,50,34,14,36,41,34.14634146,59,Lotus 1978,9.645833333,57,1.78125,7.864583333,6.607760589,43.6625,209,41.8,43
1979,Ferrari,6,37,15,40,54,13,42,30,43.33333333,47,Ferrari 1979,5.2,16,1.5,3.7,3.673262466,13.49285714,196,39.2,40
1980,Williams,6,37,14,42.85714286,49,18,20,32,56.25,22,Williams 1980,7,33,1.642857143,5.357142857,4.462569878,19.91452991,161,32.2,30
1981,Brabham,3,66,15,20,67,7,65,29,24.13793103,65,Brabham 1981,9.866666667,60,1.466666667,8.4,5.183995517,26.87380952,323,64.6,69
1982,Williams,1,69,16,6.25,69,7,65,30,23.33333333,66,Williams 1982,8.933333333,50,1.40625,7.527083333,5.284298395,27.92380952,319,63.8,68
1983,Brabham,4,56,15,26.66666667,63,10,51,30,33.33333333,60,Brabham 1983,10.73333333,62,1.5,9.233333333,4.174183696,17.42380952,292,58.4,66
1984,McLaren,12,8,16,75,10,18,20,33,54.54545455,28,McLaren 1984,6.916666667,31,1.53125,5.385416667,4.763285514,22.68888889,97,19.4,17
1985,McLaren,6,37,16,37.5,55,12,45,32,37.5,52,McLaren 1985,9.5,55,1.5,8,4.792355023,22.96666667,244,48.8,55
1986,McLaren,4,56,16,25,65,12,45,32,37.5,52,McLaren 1986,8.96875,51,1.5,7.46875,5.619812423,31.58229167,269,53.8,62
1987,Williams,9,18,16,56.25,27,18,20,32,56.25,22,Williams 1987,7.3125,36,1.5,5.8125,6.209871174,38.5625,123,24.6,22
1988,McLaren,15,4,16,93.75,1,25,8,32,78.125,6,McLaren 1988,4.125,7,1.5,2.625,4.627814459,21.41666667,26,5.2,6
1989,McLaren,10,14,16,62.5,18,18,20,32,56.25,22,McLaren 1989,8.125,47,1.5,6.625,7.184474001,51.61666667,121,24.2,21
1990,McLaren,6,37,16,37.5,55,18,20,32,56.25,22,McLaren 1990,7.3125,36,1.5,5.8125,6.01352642,36.1625,170,34,32
1991,McLaren,8,23,16,50,34,18,20,32,56.25,22,McLaren 1991,7.4375,38,1.5,5.9375,6.303107699,39.72916667,137,27.4,26
1992,Williams,10,14,16,62.5,18,21,14,32,65.625,13,Williams 1992,6.46875,26,1.5,4.96875,6.114105958,37.38229167,85,17,14
1993,Williams,10,14,16,62.5,18,22,12,32,68.75,10,Williams 1993,5.46875,17,1.5,3.96875,3.383630939,11.44895833,71,14.2,11
1994,Benetton,8,23,16,50,34,12,45,32,37.5,52,Benetton 1994,11.1875,64,1.5,9.6875,5.498105734,30.22916667,218,43.6,47
1995,Benetton,11,12,17,64.70588235,15,15,32,34,44.11764706,44,Benetton 1995,6.676470588,29,1.5,5.176470588,4.623111697,21.37316176,132,26.4,25
1996,Williams,12,8,16,75,10,21,14,32,65.625,13,Williams 1996,4.8125,10,1.5,3.3125,3.628015987,13.1625,55,11,9
1997,Williams,8,23,17,47.05882353,41,15,32,34,44.11764706,44,Williams 1997,7.823529412,43,1.5,6.323529412,4.541273144,20.62316176,183,36.6,37
1998,McLaren,9,18,16,56.25,27,20,17,32,62.5,18,McLaren 1998,5.78125,20,1.5,4.28125,5.082547754,25.83229167,100,20,18
1999,McLaren,7,31,16,43.75,48,16,28,32,50,33,McLaren 1999,7.75,42,1.5,6.25,4.339738855,18.83333333,182,36.4,36
2000,Ferrari,10,14,17,58.82352941,26,21,14,34,61.76470588,19,Ferrari 2000,5.764705882,19,1.5,4.264705882,3.965151507,15.72242647,92,18.4,16
2001,Ferrari,9,18,17,52.94117647,31,24,10,34,70.58823529,9,Ferrari 2001,4.911764706,13,1.5,3.411764706,3.72590297,13.88235294,81,16.2,13
2002,Ferrari,15,4,17,88.23529412,3,27,5,34,79.41176471,4,Ferrari 2002,4.235294118,9,1.5,2.735294118,3.973024851,15.78492647,25,5,5
2003,Ferrari,8,23,16,50,34,16,28,32,50,33,Ferrari 2003,6.09375,23,1.5,4.59375,4.42424664,19.57395833,141,28.2,28
2004,Ferrari,15,4,18,83.33333333,8,29,4,36,80.55555556,3,Ferrari 2004,3.305555556,3,1.5,1.805555556,2.57327263,6.621732026,22,4.4,4
2005,Renault,8,23,19,42.10526316,51,18,20,38,47.36842105,38,Renault 2005,6.684210526,30,1.5,5.184210526,5.414000693,29.31140351,162,32.4,31
2006,Renault,8,23,18,44.44444444,44,19,19,36,52.77777778,30,Renault 2006,4.916666667,14,1.5,3.416666667,3.90794816,15.27205882,130,26,24
2007,Ferrari,9,18,17,52.94117647,31,22,12,34,64.70588235,16,Ferrari 2007,4.941176471,15,1.5,3.441176471,3.728615498,13.90257353,92,18.4,15
